Sub lnScale sigVar  noiseVar
145	-1.1046	-0.6	-4.8042
146	-0.89542	-0.23333	-4.8708
147	-1.135	-0.47	-4.6583
148	-1.7771	-1.0417	-4.0917
149	-0.82625	-0.39667	-5.025
150	-0.99583	-0.5475	-4.7958
151	-1.7904	-0.97042	-4.2458
152	-1.4542	-0.69875	-4.2625
153	-1.015	-0.695	-4.875
154	-1.1642	-0.50792	-4.3292
155	-1.0792	-0.56042	-4.5083
156	-0.58333	-0.27333	-5.2292
157	-0.95083	-0.55792	-4.9375
158	-1.2529	-0.56625	-4.6542
159	-0.46792	-0.085833	-5.2167
160	-0.22125	-0.24917	-4.9625
161	-0.96083	-0.28125	-4.7875
162	-1.0729	-0.44417	-5.1792
163	-1.4546	-0.93833	-4.6542
164	-1.1667	-0.53625	-4.4833
165	-1.5567	-0.87042	-4.5583
166	-0.83208	-0.37292	-4.9292
167	-1.1079	-0.375	-5.2375
168	-1.2154	-0.69833	-4.475
169	-0.57375	-0.115	-4.7167
170	-1.6288	-1.1704	-3.2542
